sequence_length,gc_content
1489,57.62256548018805
1596,56.07769423558897
1485,57.57575757575758
1568,55.548469387755105
1544,57.318652849740936
1402,57.34664764621969
1651,55.844942459115686
2289,59.10878112712975
2349,58.748403575989784
2352,58.75850340136054
2030,58.3743842364532
2224,59.48741007194245
2084,58.44529750479847
163192,42.80601990293642
16569,44.426338342688155
16569,44.35994930291508
16569,44.341843201158795
16570,44.3934821967411
16567,44.395485000301804
16569,44.41426760818396
16548,43.189509306260575
16566,44.392128455873475
16569,44.35391393566299
16558,43.74320570117164
16566,44.51285766026802
16560,41.06280193236715
16568,44.362626750362146
16567,44.33512404176979
16570,44.4055522027761
16569,44.41426760818396
16570,44.459867229933614
16570,44.37537718768859
16570,44.3934821967411
16570,44.33313216656609
16569,44.37805540467137
16567,44.43773767127422
16566,43.90317517807558
16570,44.4176222088111
16570,44.3934821967411
16570,44.387447193723595
16570,44.3934821967411
16570,44.4176222088111
2286237,33.74055270735274
949511,33.499875198918176
1033292,33.5358253039799
1190845,33.2815773673316
1603259,33.36822060565386
1799298,33.4155876347331
2231883,33.433293770327566
3188341,33.27313483720844
377389,50.76035602521536
1759,50.59693007390563
1387,49.96395097332372
1448,50.0
1397,49.96420901932713
2754,45.8242556281772
1453,50.03441156228493
403381,37.42318056626366
61137,44.24652828892487
42940,39.76711690731253
40157,50.29509176482308
1014,64.5956607495069
1054,65.08538899430741
2111,38.370440549502604
984,64.1260162601626
753,65.20584329349269
910,67.36263736263737
832,66.58653846153845
2699,58.65135235272323
970,64.84536082474227
1270,46.92913385826772
97010,49.326873518194006
11277,44.471047264343355
22896,44.95981830887491
1002,64.77045908183634
13866,53.4400692340978
931,47.368421052631575
16574,44.39483528418004
16572,44.406227371469946
16573,44.4518192240391
16574,44.400868830698684
16573,44.40354793941953
16572,44.400193096789764
16572,44.4243301955105
16572,44.46657011827178
16572,44.3881245474294
16571,44.39683784925472
16571,44.39683784925472
16574,44.418969470254616
16574,44.418969470254616
1540,56.558441558441565
6028,38.08891838088918
5436,37.06769683590876
5917,38.17813080953186
3145,37.2972972972973
3208,40.243142144638405
6090,38.308702791461414
5604,37.40185581727338
5914,38.16367940480217
6037,38.36342554248799
